1. Labor rights and health,2. Inclusion and gender equity,3. Social Responsibility,4. Supply chain resilience,5. Social sustainability2Ord,RES_CS_1,RES_CS_2,RES_CS_3,RES_CS_4,RES_CS_5,RES_CS_6,TIEMPO_PANDEMIA
0.957,1.035,-0.78,0.895,0.506,7,7,6,6,7,6,IN_Covid19_(2021)
-1.141,-2.005,-1.776,-1.718,-1.809,3,3,3,2,6,2,IN_Covid19_(2021)
0.931,0.937,0.769,1.304,0.981,7,7,7,7,7,7,IN_Covid19_(2021)
0.338,-0.92,-0.576,-0.137,-0.411,6,6,5,5,5,4,IN_Covid19_(2021)
1.014,0.568,0.321,-0.25,0.723,5,5,5,5,5,5,IN_Covid19_(2021)
0.559,0.785,-0.499,1.17,0.349,7,7,7,7,7,6,IN_Covid19_(2021)
0.058,-0.194,-0.948,-0.472,-0.371,2,3,6,6,6,5,IN_Covid19_(2021)
-1.45,-2.005,-1.776,0.795,-1.931,7,5,7,7,6,6,IN_Covid19_(2021)
-0.367,0.291,-0.058,0.286,-0.054,5,6,6,6,5,6,IN_Covid19_(2021)
0.67,0.108,-0.332,0.532,0.192,7,7,7,6,4,5,IN_Covid19_(2021)
-0.233,-1.428,-1.369,-0.931,-1.096,7,7,7,2,1,1,IN_Covid19_(2021)
1.18,1.062,1.471,1.184,1.364,7,7,7,7,6,7,IN_Covid19_(2021)
0.681,1.312,1.351,1.184,1.222,6,7,7,7,7,7,IN_Covid19_(2021)
-0.743,-0.357,-0.983,-1.028,-0.76,4,3,4,5,5,3,IN_Covid19_(2021)
0.234,-0.195,0.355,0.527,0.138,6,6,6,6,6,6,IN_Covid19_(2021)
0.147,1.009,0.09,-1.395,0.471,2,4,2,5,4,4,IN_Covid19_(2021)
0.818,0.608,0.608,1.304,0.758,7,7,7,7,7,7,IN_Covid19_(2021)
-0.005,-0.022,-1.776,-0.25,-0.61,5,5,5,5,5,5,IN_Covid19_(2021)
0.902,0.641,0.363,-0.13,0.721,5,5,5,5,6,5,IN_Covid19_(2021)
1.18,1.062,-1.776,1.304,0.268,7,7,7,7,7,7,IN_Covid19_(2021)
-0.233,-0.077,-1.776,0.131,-0.72,6,6,6,5,5,5,IN_Covid19_(2021)
0.251,0.291,-1.776,-0.893,-0.39,4,4,4,4,4,5,IN_Covid19_(2021)
0.511,0.858,-0.366,0.661,0.403,6,6,7,6,6,6,IN_Covid19_(2021)
0.931,-0.487,-0.373,0.125,0.055,6,5,6,5,6,5,IN_Covid19_(2021)
1.18,1.312,1.674,1.304,1.527,7,7,7,7,7,7,IN_Covid19_(2021)
-0.775,-0.67,-1.453,-1.308,-1.05,5,4,2,4,4,3,IN_Covid19_(2021)
0.681,0.562,-1.166,0.782,0.088,6,6,6,6,7,7,IN_Covid19_(2021)
1.18,1.312,1.674,1.063,1.527,5,7,7,7,7,7,IN_Covid19_(2021)
0.661,-1.066,-0.155,1.304,-0.197,7,7,7,7,7,7,IN_Covid19_(2021)
0.661,-1.066,-0.155,1.304,-0.197,7,7,7,7,7,7,IN_Covid19_(2021)
1.18,1.312,0.945,1.304,1.281,7,7,7,7,7,7,IN_Covid19_(2021)
-1.428,-1.367,-0.795,-0.48,-1.349,1,7,6,5,5,4,IN_Covid19_(2021)
-1.34,-1.071,-0.998,-0.779,-1.271,4,7,3,4,4,4,IN_Covid19_(2021)
0.141,1.042,0.685,0.648,0.682,6,6,6,6,7,6,IN_Covid19_(2021)
-0.221,0.622,-0.051,0.527,0.132,6,6,6,6,6,6,IN_Covid19_(2021)
0.873,0.937,-0.17,0.285,0.642,5,6,7,6,5,5,IN_Covid19_(2021)
1.097,0.91,1.19,1.304,1.179,7,7,7,7,7,7,IN_Covid19_(2021)
0.791,1.187,1.26,0.406,1.187,5,6,6,6,6,6,IN_Covid19_(2021)
1.097,0.568,0.573,1.304,0.841,7,7,7,7,7,7,IN_Covid19_(2021)
-0.352,-0.545,-0.415,1.304,-0.485,7,7,7,7,7,7,IN_Covid19_(2021)
1.18,1.312,1.674,1.063,1.527,5,7,7,7,7,7,IN_Covid19_(2021)
0.773,0.443,1.302,0.406,0.912,5,6,6,6,6,6,IN_Covid19_(2021)
0.681,0.721,0.784,1.304,0.806,7,7,7,7,7,7,IN_Covid19_(2021)
0.873,0.785,0.524,0.527,0.818,6,6,6,6,6,6,IN_Covid19_(2021)
0.931,0.792,0.72,0.922,0.91,5,7,7,6,7,7,IN_Covid19_(2021)
1.18,1.312,1.674,1.304,1.527,7,7,7,7,7,7,IN_Covid19_(2021)
1.18,1.187,1.512,1.304,1.425,7,7,7,7,7,7,IN_Covid19_(2021)
1.18,1.312,1.674,1.304,1.527,7,7,7,7,7,7,IN_Covid19_(2021)
0.639,-0.273,-0.009,0.527,0.145,6,6,6,6,6,6,IN_Covid19_(2021)
0.512,0.879,-1.776,0.922,-0.064,7,7,7,6,5,7,IN_Covid19_(2021)
0.641,0.193,-0.163,1.17,0.27,7,7,7,7,7,6,IN_Covid19_(2021)
