SECTOR,SIZE,COBERTURA,COUNTRY,PUESTO,EXPERIENCIA,SEXO,DER-LAB,SAL-SEG,RS,INCLU,RES-CS
1,4,2,2,4,2,1,0.269,0.349,0.29,0.529,-0.505
1,3,1,2,3,1,2,1.21,0.813,-1.449,1.044,1.155
1,2,4,2,4,3,1,-1.612,-0.845,-2.211,-0.342,-0.197
1,3,1,2,4,2,1,-1.16,0.017,-1.639,0.061,-1.386
3,4,3,2,1,2,2,-0.032,0.081,-0.405,0.734,0.413
3,4,2,2,4,2,2,0.088,0.581,-0.303,-0.855,-0.216
2,4,2,2,1,1,2,1.21,0.813,1.732,1.326,1.155
1,4,1,2,4,4,1,-2.664,-1.476,-1.385,-1.172,-1.89
3,1,2,2,4,1,2,0.306,0.813,-1.834,0.48,0.554
1,4,4,2,3,3,2,1.21,0.813,1.732,1.326,0.894
3,2,2,2,2,1,2,-0.711,0.349,0.38,-1.588,1.155
3,2,2,2,2,1,2,-0.711,0.349,0.38,-1.588,1.155
3,4,3,2,2,2,1,1.21,0.813,1.227,1.326,1.155
1,4,4,2,4,4,1,-3.391,-2.846,-1.303,-2.025,-0.849
1,4,4,2,4,4,1,-2.905,-3.06,-1.428,-1.651,-1.226
3,2,1,2,2,1,2,-0.473,-0.715,0.735,1.008,0.395
3,1,1,2,1,1,2,-0.495,-1.244,-0.24,0.493,0.255
1,4,4,2,4,1,1,0.42,0.591,-0.177,0.903,-0.016
1,4,3,2,4,2,2,1.06,0.813,1.351,0.847,1.155
1,3,1,2,3,1,2,0.317,0.536,1.202,1.185,0.124
1,4,2,2,2,1,1,0.724,0.581,0.695,0.399,1.155
3,4,2,2,1,1,2,-0.37,-2.726,-0.111,-1.031,1.155
1,4,4,2,3,3,2,1.21,0.813,1.732,1.326,0.894
2,1,1,2,1,1,2,0.264,0.813,1.01,0.258,0.124
1,4,2,2,4,1,1,0.306,0.813,1.099,0.578,1.155
1,4,3,2,3,3,2,0.42,0.359,0.417,0.706,0.255
1,4,2,2,3,1,1,0.758,0.813,0.646,0.726,0.741
3,1,4,2,1,1,1,1.21,0.813,1.732,1.326,1.155
3,2,2,2,4,2,2,1.21,0.813,1.605,1.185,1.155
1,3,2,2,4,4,1,1.21,0.813,1.732,1.326,1.155
1,4,3,2,3,2,2,0.085,-0.271,0.14,-0.631,0.255
1,3,4,2,4,3,1,-0.001,0.591,-2.211,0.796,0.721
1,4,4,2,4,2,2,0.42,-0.215,-0.089,-0.024,0.996
3,4,2,2,5,1,1,-0.251,0.813,-0.583,0.247,-0.757
1,4,2,2,4,4,1,0.75,0.581,0.458,1.129,0.715
